dealID,proposedTickerSymbol_x,companyName_x,proposedExchange,proposedSharePrice,sharesOffered,pricedDate,dollarValueOfSharesOffered_x,dealStatus,proposedTickerSymbol_y,companyName_y,filedDate,dollarValueOfSharesOffered_y
1145727-95960,FTEVU,FinTech Evolution Acquisition Group,NYSE,10.00,"24,000,000",3/02/2021,"$240,000,000",Priced,FTEVU,FinTech Evolution Acquisition Group,2/11/2021,"$240,000,000"
1145889-95971,ARRWU,"iLearningEngines, Inc.",NASDAQ Capital,10.00,"25,000,000",3/02/2021,"$250,000,000",Priced,ARRWU,"iLearningEngines, Inc.",2/11/2021,"$250,000,000"
1145912-95974,ACAHU,Atlantic Coastal Acquisition Corp.,NASDAQ Capital,10.00,"30,000,000",3/04/2021,"$300,000,000",Priced,ACAHU,Atlantic Coastal Acquisition Corp.,2/11/2021,"$300,000,000"
1146005-95980,RXRAU,RXR Acquisition Corp.,NASDAQ Capital,10.00,"30,000,000",3/04/2021,"$300,000,000",Priced,RXRAU,RXR Acquisition Corp.,2/12/2021,"$300,000,000"
1146054-95979,HYACU,biote Corp.,NASDAQ Capital,10.00,"30,000,000",3/02/2021,"$300,000,000",Priced,HYACU,biote Corp.,2/12/2021,"$300,000,000"
1146072-95984,CPNG,"Coupang, Inc.",NYSE,35.00,"130,000,000",3/11/2021,"$4,550,000,000",Priced,CPNG,"Coupang, Inc.",2/12/2021,"$4,550,000,000"
1146154-107975,IBO,IMPACT BIOMEDICAL INC.,NYSE MKT,3.00,"1,500,000",9/16/2024,"$4,500,000",Priced,IBO,IMPACT BIOMEDICAL INC.,10/17/2023,"$4,500,000"
1146182-104551,ACRV,"Acrivon Therapeutics, Inc.",NASDAQ Global,12.50,"7,550,000",11/15/2022,"$94,375,000",Priced,ACRV,"Acrivon Therapeutics, Inc.",10/17/2022,"$94,375,000"
1146252-95995,,,,,,,,,ALTEU,Altitude Acquisition Corp. II,2/12/2021,"$230,000,000"
1146254-95997,,,,,,,,,ALTTU,Altitude Acquisition Corp. III,2/12/2021,"$402,500,000"
1146265-96003,CRZNU,Corazon Capital V838 Monoceros Corp,NASDAQ Capital,10.00,"20,000,000",3/24/2021,"$200,000,000",Priced,CRZNU,Corazon Capital V838 Monoceros Corp,2/12/2021,"$200,000,000"
1146282-96008,LHAA,Lerer Hippeau Acquisition Corp.,NASDAQ Capital,10.00,"20,000,000",3/05/2021,"$200,000,000",Priced,LHAA,Lerer Hippeau Acquisition Corp.,2/12/2021,"$200,000,000"
1146290-96012,RTPYU,"Aurora Innovation, Inc.",NASDAQ Capital,10.00,"85,000,000",3/16/2021,"$850,000,000",Priced,RTPYU,"Aurora Innovation, Inc.",2/12/2021,"$850,000,000"
1146296-96013,JUGGU,Jaws Juggernaut Acquisition Corp,NASDAQ Capital,10.00,"24,000,000",6/18/2021,"$240,000,000",Priced,JUGGU,Jaws Juggernaut Acquisition Corp,2/12/2021,"$240,000,000"
1146309-96015,DTOCU,"American Oncology Network, Inc.",NASDAQ Capital,10.00,"30,000,000",3/10/2021,"$300,000,000",Priced,DTOCU,"American Oncology Network, Inc.",2/12/2021,"$300,000,000"
1146318-96016,OHPAU,Orion Acquisition Corp.,NASDAQ Capital,10.00,"36,000,000",3/02/2021,"$360,000,000",Priced,OHPAU,Orion Acquisition Corp.,2/12/2021,"$360,000,000"
1146329-96020,TBSAU,TB SA Acquisition Corp,NASDAQ Capital,10.00,"20,000,000",3/23/2021,"$200,000,000",Priced,TBSAU,TB SA Acquisition Corp,2/12/2021,"$200,000,000"
1146331-96022,GAPAU,G&P Acquisition Corp.,NYSE,10.00,"17,500,000",3/11/2021,"$175,000,000",Priced,GAPAU,G&P Acquisition Corp.,2/12/2021,"$175,000,000"
1146336-96024,CLAAU,Colonnade Acquisition Corp. II,NYSE,10.00,"30,000,000",3/10/2021,"$300,000,000",Priced,CLAAU,Colonnade Acquisition Corp. II,2/12/2021,"$300,000,000"
1146338-96025,DCRCU,"Solid Power, Inc.",NASDAQ Capital,10.00,"35,000,000",3/24/2021,"$350,000,000",Priced,DCRCU,"Solid Power, Inc.",2/12/2021,"$350,000,000"
1146339-96026,ARTEU,Artemis Strategic Investment Corp,NASDAQ Global,10.00,"17,500,000",9/30/2021,"$175,000,000",Priced,ARTEU,Artemis Strategic Investment Corp,2/12/2021,"$175,000,000"
1146340-96027,DHBCU,DHB Capital Corp.,NASDAQ Capital,10.00,"25,000,000",3/02/2021,"$250,000,000",Priced,DHBCU,DHB Capital Corp.,2/12/2021,"$250,000,000"
1146341-96028,ACQRU,Independence Holdings Corp.,NASDAQ Capital,10.00,"43,500,000",3/09/2021,"$435,000,000",Priced,ACQRU,Independence Holdings Corp.,2/12/2021,"$435,000,000"
1146343-96029,KVSA,Khosla Ventures Acquisition Co.,NASDAQ Capital,10.00,"30,000,000",3/04/2021,"$300,000,000",Priced,KVSA,Khosla Ventures Acquisition Co.,2/12/2021,"$300,000,000"
1146346-96031,VGIIU,"Grove Collaborative Holdings, Inc.",NYSE,10.00,"35,000,000",3/23/2021,"$350,000,000",Priced,VGIIU,"Grove Collaborative Holdings, Inc.",2/12/2021,"$350,000,000"
1146347-96032,KVSB,"Nextdoor Holdings, Inc.",NASDAQ Capital,10.00,"40,000,000",3/24/2021,"$400,000,000",Priced,KVSB,"Nextdoor Holdings, Inc.",2/12/2021,"$400,000,000"
1146349-96034,LCAHU,"Landcadia Holdings IV, Inc.",NASDAQ Capital,10.00,"50,000,000",3/25/2021,"$500,000,000",Priced,LCAHU,"Landcadia Holdings IV, Inc.",2/12/2021,"$500,000,000"
1146350-96035,KVSC,Khosla Ventures Acquisition Co. III,NASDAQ Capital,10.00,"50,000,000",3/24/2021,"$500,000,000",Priced,KVSC,Khosla Ventures Acquisition Co. III,2/12/2021,"$500,000,000"
1146352-96036,,,,,,,,,,Oaktree Acquisition Corp. III,2/12/2021,"$258,750,000"
1146353-96037,,,,,,,,,,Graf Acquisition Corp. II,2/12/2021,"$258,750,000"
1146354-96038,LVRAU,Levere Holdings Corp.,NASDAQ Capital,10.00,"25,000,000",3/19/2021,"$250,000,000",Priced,LVRAU,Levere Holdings Corp.,2/12/2021,"$250,000,000"
1146355-96039,AMCIU,"LanzaTech Global, Inc.",NASDAQ Capital,10.00,"15,000,000",8/04/2021,"$150,000,000",Priced,AMCIU,"LanzaTech Global, Inc.",2/12/2021,"$150,000,000"
1146356-96040,AURCU,Better Home & Finance Holding Co,NASDAQ Capital,10.00,"22,000,000",3/04/2021,"$220,000,000",Priced,AURCU,Better Home & Finance Holding Co,2/12/2021,"$220,000,000"
1146359-96041,ATSPU,"SOUNDHOUND AI, INC.",NASDAQ Capital,10.00,"12,000,000",3/11/2021,"$120,000,000",Priced,ATSPU,"SOUNDHOUND AI, INC.",2/12/2021,"$120,000,000"
